CorrectClass MaxScore MaxScoreClass TrustedVote VoteScore TrustedScore FileName S1 S10 S11 S12 S13 S14 S15 S16 S17 S18 S19 S2 S20 S21 S3 S4 S5 S6 S7 S8 S9
S1 0.976910 S1 0.000000 0.796452 0.203548 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0384.JPG 0.976910 0.000414 0.000024 0.001929 0.001368 0.000423 0.000173 0.001090 0.000113 0.000216 0.000246 0.000023 0.000588 0.000059 0.000033 0.001374 0.001419 0.000499 0.008732 0.003935 0.000433
S1 0.999991 S1 0.000000 0.773716 0.226284 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0385.JPG 0.999991 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000008 0.000000 0.000000 0.000000 0.000001
S1 0.999995 S1 0.000000 0.773718 0.226282 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0386.JPG 0.999995 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000004 0.000000 0.000000 0.000000 0.000001
S1 0.998763 S1 0.000000 0.773296 0.226704 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0387.JPG 0.998763 0.000005 0.000000 0.000085 0.000107 0.000005 0.000000 0.000032 0.000001 0.000001 0.000007 0.000000 0.000007 0.000000 0.000000 0.000005 0.000027 0.000001 0.000843 0.000102 0.000008
S1 0.999988 S1 0.000000 0.773715 0.226285 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0388.JPG 0.999988 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000010 0.000000 0.000000 0.000000 0.000002
S1 0.999979 S1 0.000000 0.773710 0.226290 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0389.JPG 0.999979 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000018 0.000000 0.000000 0.000000 0.000002
S1 0.997696 S1 0.000000 0.773019 0.226981 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0390.JPG 0.997696 0.000014 0.000000 0.000186 0.000109 0.000005 0.000002 0.000106 0.000001 0.000001 0.000013 0.000000 0.000009 0.000000 0.000000 0.000005 0.000205 0.000001 0.001459 0.000176 0.000013
S1 0.999996 S1 0.000000 0.773718 0.226282 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0391.JPG 0.999996 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000004 0.000000 0.000000 0.000000 0.000000
S1 0.999995 S1 0.000000 0.773717 0.226283 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0392.JPG 0.999995 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000005 0.000000 0.000000 0.000000 0.000000
S1 0.982257 S1 0.000000 0.794905 0.205095 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0393.JPG 0.982257 0.000227 0.000010 0.002945 0.000811 0.000229 0.000143 0.000483 0.000045 0.000100 0.000161 0.000011 0.000451 0.000031 0.000016 0.000534 0.000843 0.000213 0.005382 0.004913 0.000196
S1 0.999988 S1 0.000000 0.773715 0.226285 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0394.JPG 0.999988 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000009 0.000000 0.000000 0.000000 0.000002
S1 0.999993 S1 0.000000 0.773718 0.226282 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0395.JPG 0.999993 0.000000 0.000000 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000004 0.000000 0.000000 0.000000 0.000001
S1 0.999999 S1 0.000000 0.773720 0.226280 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0396.JPG 0.999999 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000
